"Date","Price","Open","High","Low","Vol.","Change %"
"08-04-2025","2,285.70","2,270.00","2,301.00","2,225.00","1.22M","3.30%"
"07-04-2025","2,212.70","2,150.05","2,239.00","2,145.00","1.57M","-5.22%"
"04-04-2025","2,334.65","2,394.95","2,410.05","2,315.50","1.22M","-3.16%"
"03-04-2025","2,410.80","2,339.75","2,429.90","2,339.70","1.02M","1.75%"
"02-04-2025","2,369.40","2,339.75","2,378.85","2,314.55","573.93K","1.46%"
"01-04-2025","2,335.25","2,312.00","2,358.95","2,301.00","501.94K","0.84%"
"28-03-2025","2,315.80","2,376.00","2,386.95","2,293.70","1.84M","-2.01%"
"27-03-2025","2,363.35","2,310.00","2,373.90","2,291.60","1.70M","2.19%"
"26-03-2025","2,312.60","2,324.90","2,359.85","2,308.05","1.08M","-0.33%"
"25-03-2025","2,320.35","2,385.00","2,387.65","2,315.10","763.07K","-2.04%"
"24-03-2025","2,368.70","2,370.00","2,395.00","2,361.10","1.01M","0.25%"
"21-03-2025","2,362.80","2,343.80","2,389.55","2,338.00","1.10M","1.00%"
"20-03-2025","2,339.30","2,348.00","2,348.00","2,299.00","2.59M","0.89%"
"19-03-2025","2,318.65","2,319.95","2,342.00","2,311.05","1.03M","0.44%"
"18-03-2025","2,308.50","2,274.00","2,314.20","2,259.75","878.01K","2.48%"
"17-03-2025","2,252.70","2,200.00","2,286.90","2,198.00","927.74K","1.42%"
"13-03-2025","2,221.10","2,249.00","2,273.00","2,215.60","750.31K","-0.92%"
"12-03-2025","2,241.80","2,270.00","2,280.00","2,180.95","1.05M","-0.39%"
"11-03-2025","2,250.60","2,223.15","2,267.85","2,208.30","947.08K","1.00%"
"10-03-2025","2,228.30","2,245.00","2,288.00","2,220.00","940.11K","-0.85%"
"07-03-2025","2,247.50","2,249.95","2,267.65","2,227.00","818.81K","-0.24%"
"06-03-2025","2,252.85","2,260.00","2,268.90","2,226.15","890.27K","0.31%"
"05-03-2025","2,245.85","2,153.95","2,258.40","2,148.05","1.37M","4.71%"
"04-03-2025","2,144.80","2,085.10","2,154.00","2,080.00","852.98K","1.31%"
"03-03-2025","2,117.10","2,109.00","2,127.25","2,026.55","1.59M","1.01%"
"28-02-2025","2,096.00","2,107.00","2,111.35","2,072.00","2.37M","-0.71%"
"27-02-2025","2,110.95","2,143.75","2,149.10","2,102.50","941.95K","-0.89%"
"25-02-2025","2,129.85","2,115.15","2,158.30","2,102.00","802.13K","0.69%"
"24-02-2025","2,115.15","2,128.95","2,138.50","2,096.70","1.03M","-0.84%"
"21-02-2025","2,133.10","2,190.45","2,199.60","2,116.85","1.54M","-2.11%"
"20-02-2025","2,179.00","2,180.80","2,216.35","2,156.80","1.09M","-0.08%"
"19-02-2025","2,180.80","2,166.00","2,219.40","2,127.00","1.20M","-1.78%"
"18-02-2025","2,220.30","2,240.00","2,240.00","2,166.05","1.14M","-0.15%"
"17-02-2025","2,223.70","2,152.65","2,240.40","2,110.65","1.40M","3.30%"
"14-02-2025","2,152.65","2,245.70","2,249.30","2,124.55","2.55M","-4.10%"
"13-02-2025","2,244.70","2,354.00","2,372.75","2,233.40","2.55M","-4.62%"
"12-02-2025","2,353.45","2,325.00","2,378.45","2,281.00","1.93M","1.37%"
"11-02-2025","2,321.75","2,312.00","2,397.00","2,306.00","4.90M","1.35%"
"10-02-2025","2,290.80","2,350.00","2,350.95","2,280.10","739.71K","-2.05%"
"07-02-2025","2,338.80","2,312.45","2,374.90","2,307.35","892.90K","1.14%"
"06-02-2025","2,312.45","2,340.00","2,340.00","2,298.20","680.54K","-0.52%"
"05-02-2025","2,324.60","2,314.95","2,349.40","2,309.05","560.94K","1.00%"
"04-02-2025","2,301.50","2,278.90","2,312.00","2,267.55","691.19K","1.75%"
"03-02-2025","2,261.85","2,266.75","2,279.00","2,213.90","824.94K","-0.36%"
"01-02-2025","2,270.00","2,297.00","2,351.45","2,237.55","987.36K","-0.78%"
"31-01-2025","2,287.80","2,238.85","2,314.95","2,213.75","2.01M","1.56%"
"30-01-2025","2,252.60","2,325.00","2,351.50","2,201.30","2.60M","-2.85%"
"29-01-2025","2,318.60","2,297.00","2,326.25","2,282.60","785.22K","1.42%"
"28-01-2025","2,286.05","2,274.20","2,315.85","2,242.00","966.50K","1.17%"
"27-01-2025","2,259.70","2,310.05","2,318.10","2,250.05","1.03M","-2.39%"
"24-01-2025","2,315.10","2,387.75","2,406.00","2,299.40","1.39M","-2.93%"
"23-01-2025","2,385.00","2,383.00","2,405.15","2,355.00","826.72K","0.36%"
"22-01-2025","2,376.55","2,399.00","2,399.00","2,325.15","1.15M","-0.33%"
"21-01-2025","2,384.30","2,441.75","2,441.75","2,373.65","1.21M","-2.39%"
"20-01-2025","2,442.80","2,413.75","2,454.00","2,390.00","1.04M","1.79%"
"17-01-2025","2,399.80","2,450.00","2,450.00","2,380.05","1.12M","-1.16%"
"16-01-2025","2,427.85","2,500.00","2,570.00","2,418.85","2.84M","1.66%"
"15-01-2025","2,388.15","2,399.00","2,421.95","2,372.65","1.42M","0.32%"
"14-01-2025","2,380.55","2,241.50","2,422.90","2,241.50","4.12M","6.98%"
"13-01-2025","2,225.15","2,365.00","2,365.00","2,216.90","1.56M","-6.29%"
"10-01-2025","2,374.40","2,480.00","2,484.60","2,368.25","1.42M","-4.18%"
"09-01-2025","2,477.90","2,517.00","2,517.55","2,469.50","705.84K","-1.48%"
"08-01-2025","2,515.25","2,520.55","2,530.00","2,490.00","879.64K","-0.21%"
"07-01-2025","2,520.55","2,474.65","2,525.00","2,474.65","1.02M","1.86%"
"06-01-2025","2,474.45","2,557.65","2,568.85","2,463.50","1.12M","-3.52%"
"03-01-2025","2,564.60","2,580.00","2,619.00","2,556.60","932.80K","-1.27%"
"02-01-2025","2,597.70","2,565.70","2,602.00","2,537.00","1.17M","1.68%"
"01-01-2025","2,554.85","2,536.00","2,644.20","2,518.25","2.88M","1.04%"
"31-12-2024","2,528.65","2,575.00","2,577.75","2,507.45","2.75M","-2.46%"
"30-12-2024","2,592.35","2,425.00","2,610.00","2,421.95","7.83M","7.57%"
