"Date","Price","Open","High","Low","Vol.","Change %"
"19-05-2025","1,491.60","1,499.90","1,511.70","1,489.00","1.86M","-0.55%"
"16-05-2025","1,499.90","1,509.70","1,510.20","1,492.00","1.66M","-0.15%"
"15-05-2025","1,502.20","1,495.00","1,512.90","1,475.00","3.92M","0.50%"
"14-05-2025","1,494.80","1,495.00","1,505.90","1,474.60","3.42M","-1.66%"
"13-05-2025","1,520.10","1,515.00","1,539.90","1,497.10","4.04M","0.56%"
"12-05-2025","1,511.60","1,478.00","1,516.90","1,462.20","1.71M","2.14%"
"09-05-2025","1,480.00","1,469.90","1,486.40","1,463.70","1.04M","-0.46%"
"08-05-2025","1,486.80","1,500.00","1,508.70","1,477.90","2.77M","-1.46%"
"07-05-2025","1,508.80","1,500.00","1,517.80","1,499.40","1.42M","-0.17%"
"06-05-2025","1,511.40","1,530.00","1,531.90","1,495.00","1.79M","-2.04%"
"05-05-2025","1,542.90","1,532.00","1,549.00","1,528.30","786.90K","1.13%"
"02-05-2025","1,525.60","1,537.50","1,552.50","1,513.50","2.02M","-1.58%"
"30-04-2025","1,550.10","1,542.00","1,570.80","1,538.00","2.32M","0.56%"
"29-04-2025","1,541.50","1,555.00","1,560.60","1,531.00","1.39M","-0.87%"
"28-04-2025","1,555.10","1,525.90","1,565.00","1,525.90","1.21M","1.91%"
"25-04-2025","1,525.90","1,556.00","1,566.70","1,513.50","1.35M","-1.66%"
"24-04-2025","1,551.70","1,533.70","1,556.00","1,524.90","1.59M","1.17%"
"23-04-2025","1,533.70","1,533.00","1,539.00","1,516.00","819.02K","0.36%"
"22-04-2025","1,528.20","1,514.90","1,534.70","1,502.70","954.97K","1.13%"
"21-04-2025","1,511.10","1,525.00","1,525.00","1,505.00","570.27K","-0.27%"
"17-04-2025","1,515.20","1,498.00","1,522.00","1,486.00","1.21M","1.26%"
"16-04-2025","1,496.40","1,467.10","1,499.00","1,464.40","1.02M","0.99%"
"15-04-2025","1,481.80","1,482.20","1,485.90","1,462.10","1.72M","1.28%"
"11-04-2025","1,463.05","1,460.00","1,488.50","1,448.55","2.31M","3.35%"
"09-04-2025","1,415.60","1,416.50","1,423.00","1,396.05","1.70M","-1.18%"
"08-04-2025","1,432.55","1,394.80","1,437.60","1,382.65","1.32M","3.46%"
"07-04-2025","1,384.70","1,336.00","1,401.35","1,335.00","1.60M","-2.16%"
"04-04-2025","1,415.25","1,495.70","1,495.70","1,390.05","2.77M","-5.38%"
"03-04-2025","1,495.70","1,482.00","1,523.30","1,480.00","3.49M","2.98%"
"02-04-2025","1,452.35","1,441.00","1,464.00","1,428.40","1.05M","0.56%"
"01-04-2025","1,444.25","1,438.55","1,466.00","1,429.00","1.08M","0.14%"
"28-03-2025","1,442.20","1,475.00","1,478.65","1,434.45","1.50M","-2.74%"
"27-03-2025","1,482.90","1,464.70","1,489.00","1,462.40","1.85M","0.45%"
"26-03-2025","1,476.20","1,507.00","1,512.35","1,472.30","1.38M","-2.32%"
"25-03-2025","1,511.20","1,530.00","1,534.00","1,505.05","1.09M","-0.84%"
"24-03-2025","1,524.05","1,525.05","1,535.00","1,515.20","826.04K","0.01%"
"21-03-2025","1,523.85","1,513.90","1,528.90","1,510.00","2.85M","0.78%"
"20-03-2025","1,512.05","1,499.65","1,517.60","1,495.45","984.36K","0.86%"
"19-03-2025","1,499.15","1,515.00","1,515.00","1,496.50","1.02M","-0.63%"
"18-03-2025","1,508.65","1,499.10","1,512.00","1,496.80","1.57M","1.08%"
"17-03-2025","1,492.60","1,459.85","1,496.95","1,455.70","1.33M","2.10%"
"13-03-2025","1,461.90","1,456.40","1,465.70","1,445.65","804.03K","0.52%"
"12-03-2025","1,454.30","1,442.00","1,457.00","1,437.75","1.25M","0.59%"
"11-03-2025","1,445.75","1,448.00","1,459.00","1,438.00","1.23M","-1.16%"
"10-03-2025","1,462.75","1,458.35","1,482.20","1,457.00","905.85K","0.29%"
"07-03-2025","1,458.45","1,465.95","1,471.10","1,451.55","678.50K","-0.23%"
"06-03-2025","1,461.75","1,424.95","1,464.45","1,419.75","1.53M","2.96%"
"05-03-2025","1,419.75","1,395.10","1,431.90","1,393.10","2.19M","1.28%"
"04-03-2025","1,401.80","1,402.45","1,405.00","1,389.30","1.46M","-0.41%"
"03-03-2025","1,407.55","1,400.00","1,418.10","1,396.00","854.26K","0.00%"
"28-02-2025","1,407.50","1,440.00","1,448.70","1,400.00","3.34M","-2.33%"
"27-02-2025","1,441.15","1,452.00","1,464.30","1,436.00","1.26M","-1.52%"
"25-02-2025","1,463.35","1,471.00","1,482.40","1,454.60","992.99K","-0.91%"
"24-02-2025","1,476.75","1,460.00","1,489.00","1,457.60","1.40M","0.07%"
"21-02-2025","1,475.75","1,489.00","1,502.00","1,468.65","1.41M","-0.27%"
"20-02-2025","1,479.70","1,462.00","1,483.00","1,461.50","1.65M","1.06%"
"19-02-2025","1,464.15","1,454.95","1,474.00","1,426.35","1.21M","-1.21%"
"18-02-2025","1,482.10","1,474.65","1,483.85","1,466.10","967.39K","0.51%"
"17-02-2025","1,474.65","1,457.45","1,480.70","1,451.30","1.11M","1.04%"
"14-02-2025","1,459.45","1,478.00","1,480.15","1,438.55","1.70M","-0.86%"
"13-02-2025","1,472.15","1,449.20","1,493.00","1,447.10","1.88M","1.58%"
"12-02-2025","1,449.20","1,453.15","1,462.30","1,435.15","1.79M","-0.27%"
"11-02-2025","1,453.15","1,465.00","1,468.00","1,443.40","1.94M","-0.39%"
"10-02-2025","1,458.85","1,476.20","1,477.60","1,431.55","1.28M","-0.91%"
"07-02-2025","1,472.25","1,473.50","1,481.85","1,455.00","1.45M","0.05%"
"06-02-2025","1,471.50","1,443.95","1,475.30","1,438.15","2.92M","2.42%"
"05-02-2025","1,436.80","1,457.85","1,458.00","1,429.30","2.52M","-0.85%"
